id,temp,ph,substrate,yield,kcat_base,Km_base,enzyme_type
GUN25_ARATH,30.0,4.0,Cellulose,0.3518,8.48,27.94,EG
GUN25_ARATH,30.0,5.0,Cellulose,0.418,8.48,27.94,EG
GUN25_ARATH,30.0,6.0,Cellulose,0.4434,8.48,27.94,EG
GUN25_ARATH,30.0,7.0,Cellulose,0.4265,8.48,27.94,EG
GUN25_ARATH,30.0,8.0,Cellulose,0.3681,8.48,27.94,EG
GUN25_ARATH,40.0,4.0,Cellulose,0.4729,8.48,27.94,EG
GUN25_ARATH,40.0,5.0,Cellulose,0.5423,8.48,27.94,EG
GUN25_ARATH,40.0,6.0,Cellulose,0.5687,8.48,27.94,EG
GUN25_ARATH,40.0,7.0,Cellulose,0.5511,8.48,27.94,EG
GUN25_ARATH,40.0,8.0,Cellulose,0.4902,8.48,27.94,EG
GUN25_ARATH,50.0,4.0,Cellulose,0.5305,8.48,27.94,EG
GUN25_ARATH,50.0,5.0,Cellulose,0.6008,8.48,27.94,EG
GUN25_ARATH,50.0,6.0,Cellulose,0.6273,8.48,27.94,EG
GUN25_ARATH,50.0,7.0,Cellulose,0.6096,8.48,27.94,EG
GUN25_ARATH,50.0,8.0,Cellulose,0.548,8.48,27.94,EG
GUN25_ARATH,60.0,4.0,Cellulose,0.5202,8.48,27.94,EG
GUN25_ARATH,60.0,5.0,Cellulose,0.5904,8.48,27.94,EG
GUN25_ARATH,60.0,6.0,Cellulose,0.6169,8.48,27.94,EG
GUN25_ARATH,60.0,7.0,Cellulose,0.5992,8.48,27.94,EG
GUN25_ARATH,60.0,8.0,Cellulose,0.5377,8.48,27.94,EG
GUN25_ARATH,70.0,4.0,Cellulose,0.4429,8.48,27.94,EG
GUN25_ARATH,70.0,5.0,Cellulose,0.5117,8.48,27.94,EG
GUN25_ARATH,70.0,6.0,Cellulose,0.5378,8.48,27.94,EG
GUN25_ARATH,70.0,7.0,Cellulose,0.5204,8.48,27.94,EG
GUN25_ARATH,70.0,8.0,Cellulose,0.4599,8.48,27.94,EG
GUN25_ARATH,30.0,4.0,Xylan,0.1608,8.48,27.94,EG
GUN25_ARATH,30.0,5.0,Xylan,0.2146,8.48,27.94,EG
GUN25_ARATH,30.0,6.0,Xylan,0.2362,8.48,27.94,EG
GUN25_ARATH,30.0,7.0,Xylan,0.2217,8.48,27.94,EG
GUN25_ARATH,30.0,8.0,Xylan,0.1737,8.48,27.94,EG
GUN25_ARATH,40.0,4.0,Xylan,0.2619,8.48,27.94,EG
GUN25_ARATH,40.0,5.0,Xylan,0.324,8.48,27.94,EG
GUN25_ARATH,40.0,6.0,Xylan,0.3481,8.48,27.94,EG
GUN25_ARATH,40.0,7.0,Xylan,0.332,8.48,27.94,EG
GUN25_ARATH,40.0,8.0,Xylan,0.2771,8.48,27.94,EG
GUN25_ARATH,50.0,4.0,Xylan,0.3132,8.48,27.94,EG
GUN25_ARATH,50.0,5.0,Xylan,0.3779,8.48,27.94,EG
GUN25_ARATH,50.0,6.0,Xylan,0.4028,8.48,27.94,EG
GUN25_ARATH,50.0,7.0,Xylan,0.3862,8.48,27.94,EG
GUN25_ARATH,50.0,8.0,Xylan,0.3291,8.48,27.94,EG
GUN25_ARATH,60.0,4.0,Xylan,0.304,8.48,27.94,EG
GUN25_ARATH,60.0,5.0,Xylan,0.3683,8.48,27.94,EG
GUN25_ARATH,60.0,6.0,Xylan,0.3931,8.48,27.94,EG
GUN25_ARATH,60.0,7.0,Xylan,0.3765,8.48,27.94,EG
GUN25_ARATH,60.0,8.0,Xylan,0.3198,8.48,27.94,EG
GUN25_ARATH,70.0,4.0,Xylan,0.2358,8.48,27.94,EG
GUN25_ARATH,70.0,5.0,Xylan,0.2963,8.48,27.94,EG
GUN25_ARATH,70.0,6.0,Xylan,0.3199,8.48,27.94,EG
GUN25_ARATH,70.0,7.0,Xylan,0.3041,8.48,27.94,EG
GUN25_ARATH,70.0,8.0,Xylan,0.2505,8.48,27.94,EG
GUN25_ARATH,30.0,4.0,Bagasse,0.3195,8.48,27.94,EG
GUN25_ARATH,30.0,5.0,Bagasse,0.3845,8.48,27.94,EG
GUN25_ARATH,30.0,6.0,Bagasse,0.4095,8.48,27.94,EG
GUN25_ARATH,30.0,7.0,Bagasse,0.3928,8.48,27.94,EG
GUN25_ARATH,30.0,8.0,Bagasse,0.3355,8.48,27.94,EG
GUN25_ARATH,40.0,4.0,Bagasse,0.4387,8.48,27.94,EG
GUN25_ARATH,40.0,5.0,Bagasse,0.5074,8.48,27.94,EG
GUN25_ARATH,40.0,6.0,Bagasse,0.5335,8.48,27.94,EG
GUN25_ARATH,40.0,7.0,Bagasse,0.5161,8.48,27.94,EG
